id;name;latitude;longitude;address;ward;district;province;primaryType;types;rating;userRatingCount;timezone;openingHours;priceLevel;priceRange
ChIJ25VPnkcvdTERSLUZtdUn4co;Rex Hotel;10,7758454;106,7012646;38 Đường số 33;;Quận 2;Hồ Chí Minh;gym;['bar', 'cafe', 'establishment', 'food', 'gym', 'health', 'lodging', 'point_of_interest', 'restaurant', 'spa', 'store'];4,4;8343;Asia/Ho_Chi_Minh;[{'days': 'Every day', 'open': 'Open 24 hours'}];1;50k-150k
ChIJc_9VekYvdTERtvfHUbJKWBA;Caravelle Hotel;10,7762617;106,7036128;19 Lam Sơn;Phường 2;Tân Bình;Hồ Chí Minh;spa;['bar', 'establishment', 'food', 'lodging', 'point_of_interest', 'restaurant', 'spa'];4,5;4255;Asia/Ho_Chi_Minh;[{'days': 'Every day', 'open': 'Open 24 hours'}];1;50k-150k
ChIJqxN4kkgvdTERZpkl-Nqzcik;Saigon Star Hotel;10,7751522;106,6905212;2 Bà Huyện Thanh Quan;Phường 6;Quận 3;Hồ Chí Minh;lodging;['establishment', 'food', 'lodging', 'point_of_interest', 'restaurant'];3,7;361;Asia/Ho_Chi_Minh;;1;50k-150k
ChIJow2MCUgvdTERLmE-ZvwKvXE;Hotel Continental Saigon;10,7768949;106,7025025;134 Đường Đồng Khởi;;Quận 1;Hồ Chí Minh;lodging;['establishment', 'food', 'lodging', 'point_of_interest', 'restaurant'];4,4;3724;Asia/Ho_Chi_Minh;[{'days': 'Every day', 'open': 'Open 24 hours'}];1;50k-150k
ChIJjTF8ikcvdTERFs5iXqfrm-I;Golden Central Hotel Saigon;10,7736721;106,6963424;138 Lý Tự Trọng;;Quận 1;Hồ Chí Minh;lodging;['establishment', 'food', 'lodging', 'point_of_interest', 'restaurant'];3,8;606;Asia/Ho_Chi_Minh;[{'days': 'Every day', 'open': 'Open 24 hours'}];1;50k-150k
ChIJRxtlp0gvdTERGg6rVLBCqXU;Silverland Jolie Hotel;10,777352;106,705919;4A Thi Sách;;Quận 1;Hồ Chí Minh;spa;['establishment', 'food', 'lodging', 'point_of_interest', 'restaurant', 'spa'];4,5;1194;Asia/Ho_Chi_Minh;[{'days': 'Every day', 'open': 'Open 24 hours'}];1;50k-150k
ChIJA0evAkgvdTERo8Q8zRgX2As;Hương Sen Hotel;10,7751494;106,7043837;66 Đường Đồng Khởi;;Quận 1;Hồ Chí Minh;market;['establishment', 'food', 'lodging', 'point_of_interest', 'restaurant'];4,2;1056;Asia/Ho_Chi_Minh;[{'days': 'Sunday', 'open': '00:00', 'close': '23:59'}];1;50k-150k
ChIJ3zvE-0gvdTERITTyMFslbwE;Silverland Sil Hotel;10,780106;106,703879;22 Đường Thái Văn Lung;;Quận 1;Hồ Chí Minh;market;['establishment', 'food', 'lodging', 'point_of_interest', 'restaurant'];4,4;924;Asia/Ho_Chi_Minh;[{'days': 'Every day', 'open': 'Open 24 hours'}];1;50k-150k
ChIJe0b_aDwvdTERtSMMwR7yDtc;Rang Dong Hotel;10,7721723;106,6916713;81 Cách Mạng Tháng Tám, Bến Thành, Quận 1, Hồ Chí Minh 700000 Cách Mạng Tháng Tám;Phường Phạm Ngũ Lão;Quận 1;Hồ Chí Minh;restaurant;['establishment', 'food', 'lodging', 'point_of_interest', 'restaurant'];4;1002;Asia/Ho_Chi_Minh;[{'days': 'Every day', 'open': 'Open 24 hours'}];1;50k-150k
ChIJfU3sCT4vdTER79_2IEdjx4A;iPeace Hotel;10,7685337;106,6941517;175 Đường Phạm Ngũ Lão;Phường Phạm Ngũ Lão;Quận 1;Hồ Chí Minh;restaurant;['establishment', 'food', 'lodging', 'point_of_interest', 'restaurant'];3,6;325;Asia/Ho_Chi_Minh;;1;50k-150k
ChIJI0NEEGgvdTERIPjke4yN2m0;Silverland Ben Thanh;10,7718018;106,697274;21 Đường Nguyễn An Ninh;;Quận 1;Hồ Chí Minh;restaurant;['establishment', 'food', 'lodging', 'point_of_interest', 'restaurant'];4,5;1548;Asia/Ho_Chi_Minh;;1;50k-150k
ChIJ__-vy0YvdTERfJrGj3Om7bs;Saigon Prince Hotel (Formerly Duxton Hotel Saigon);10,7728099;106,7040688;73 Nguyễn Huệ;;Bến Nghé;Hồ Chí Minh;restaurant;['establishment', 'food', 'lodging', 'point_of_interest', 'restaurant'];4,1;2356;Asia/Ho_Chi_Minh;;1;50k-150k
ChIJMRexM0kvdTER4_OePe74wCA;Silverland Sakyo Hotel;10,7815171;106,7054086;10A Lê Thánh Tôn;;Quận 1;Hồ Chí Minh;spa;['establishment', 'food', 'lodging', 'point_of_interest', 'restaurant', 'spa'];4,4;1033;Asia/Ho_Chi_Minh;[{'days': 'Sunday', 'open': '00:00', 'close': '23:59'}];1;50k-150k
ChIJSTqwHTcvdTERQjo-BiE7nQY;AU LAC LEGEND HOTEL;10,7808742;106,6959533;90 Đường Nguyễn Thị Minh Khai;;Quận 1;Hồ Chí Minh;restaurant;['establishment', 'food', 'lodging', 'point_of_interest', 'restaurant'];4,5;1700;Asia/Ho_Chi_Minh;[{'days': 'Every day', 'open': 'Open 24 hours'}];1;50k-150k
ChIJcZ1GPAwvdTERgzqPWOKwgBA;Phanta Stay;10,7665864;106,6912574;24 Đỗ Quang Đẩu;Phường Phạm Ngũ Lão;Quận 1;Hồ Chí Minh;restaurant;['establishment', 'food', 'lodging', 'point_of_interest', 'restaurant'];4,7;18;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '17:00', 'close': '18:00'}];1;50k-150k
ChIJDab_Nj8vdTERK9ajj6aMF-M;Sạp Nguyệt Anh;10,772419;106,69821;305-307 309-311-313;;Quận 1;Hồ Chí Minh;restaurant;['establishment', 'food', 'point_of_interest', 'restaurant'];5;1;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '08:00', 'close': '22:00'}];1;50k-150k
ChIJoz2M2EgvdTERLFRcCOtuC70;Ngon Restaurant;10,777481;106,6993877;164 Pasteur;Phường;Quận 1;Hồ Chí Minh;market;['establishment', 'food', 'point_of_interest', 'restaurant'];4;11150;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '07:00', 'close': '22:30'}];2;150k-400k
ChIJMRRuhj4vdTER1M4F3fECIGI;Chill Skybar & Dining;10,7705648;106,6943777;Số 76A Đường Lê Lai;;Quận 1;Hồ Chí Minh;night_club;['bar', 'establishment', 'food', 'night_club', 'point_of_interest', 'restaurant'];4,4;5590;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '17:30', 'close': '01:30'}];3;400k-800k
ChIJuSE33D4vdTERwRU6ZD9uW0c;Silverland May Hotel;10,7791277;106,7039928;26 Thi Sách;;Quận 1;Hồ Chí Minh;spa;['establishment', 'food', 'lodging', 'point_of_interest', 'restaurant', 'spa'];4,5;1268;Asia/Ho_Chi_Minh;;1;50k-150k
ChIJXZdimTUvdTERrs5KIpDMnf0;Hoa Viên Craft Brewery;10,7858744;106,6992178;18bis/30A Đường Mạc Đĩnh Chi;;Quận 1;Hồ Chí Minh;bar;['bar', 'establishment', 'food', 'point_of_interest', 'restaurant'];4,2;2807;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '09:00', 'close': '23:00'}];2;150k-400k
ChIJ4zj_mEYvdTERB3pS7sNEeVc;Vietnam House Restaurant;10,7748134;106,7041331;97 Đường Đồng Khởi;;Quận 1;Hồ Chí Minh;restaurant;['establishment', 'food', 'point_of_interest', 'restaurant'];4,3;1457;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '17:30', 'close': '22:00'}];1;50k-150k
ChIJgz6RckYvdTERT6izth8Wf3E;Annam Gourmet;10,7767027;106,7049912;18 Hai Bà Trưng;;Quận 1;Hồ Chí Minh;supermarket;['establishment', 'food', 'grocery_or_supermarket', 'point_of_interest', 'restaurant', 'store', 'supermarket'];4,4;2158;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '07:00', 'close': '21:00'}];1;50k-150k
ChIJ7_ogfhUvdTERcvD7Vz3LpZE;Thuan Kieu Vietnamese restaurant;10,767587;106,697385;114 Đường Yersin;Phường Nguyễn Thái Bình;Bến Thành;Hồ Chí Minh;restaurant;['establishment', 'food', 'point_of_interest', 'restaurant'];3,5;281;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '06:00', 'close': '20:30'}];2;150k-400k
ChIJN_rvZUYvdTERugc7mV5xebQ;Halal@Saigon Restaurant;10,7760108;106,7047502;29 Đông Du;;Quận 1;Hồ Chí Minh;restaurant;['establishment', 'food', 'point_of_interest', 'restaurant'];4,2;700;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '11:00', 'close': '21:30'}];2;150k-400k
ChIJz_C890kvdTERkXwgM7S0B2M;Nhà hàng Phượng Gòn;10,7840905;106,7009197;6 Đường Mạc Đĩnh Chi;;Bến Nghé;Hồ Chí Minh;restaurant;['establishment', 'food', 'point_of_interest', 'restaurant'];4;64;Asia/Ho_Chi_Minh;;1;50k-150k
ChIJC0j2-iIvdTERIbT5nAt6su8;The Sargon;10,7704263;106,685616;45D Đường Cao Thắng;;Quận 3;Hồ Chí Minh;restaurant;['establishment', 'food', 'lodging', 'point_of_interest', 'restaurant'];4;40;Asia/Ho_Chi_Minh;;1;50k-150k
ChIJvfqpjTEvdTERkVtpHvDo9SQ;Kobe Teppanyaki;10,7834086;106,689397;13 Tú Xương;Phường Võ Thị Sáu;Quận 3;Hồ Chí Minh;restaurant;['establishment', 'food', 'point_of_interest', 'restaurant'];4,5;643;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '10:00', 'close': '22:00'}];3;400k-800k
ChIJeyena0kvdTERZ40AF3Jo9fM;A La Maison;10,7823064;106,7044247;14/1 Chu Mạnh Trinh;;Quận 1;Hồ Chí Minh;restaurant;['establishment', 'food', 'point_of_interest', 'restaurant'];4;2;Asia/Ho_Chi_Minh;;1;50k-150k
